idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1_NG,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1594060,2605,Other Services,Large,South West,Establishment,Other services,South West,30,No,Panel,Yoruba,5,4,2025,13,48,2024,12,31,93,Interviewer17,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,1974,Don't know (spontaneous),Don't know (spontaneous),50,No,No,,No,,,,Yes,25.0,0.0,One minute or less,,150000000.0,Yes,95.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,Don't know (spontaneous),Hotel,70,50000000.0,fifty million,30000000.0,thirty million,,100,0,0,,,,,,,,,,80,20,No,,,,,,,,No,,Tend to agree,Tend to agree,Strongly disagree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,Most managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,No,No,Yes,Yes,No,purchase of new bain marie,No,,Yes,Don't know (spontaneous),30.0,Don't know (spontaneous),,,,,,No,,,Strongly disagree,No,,No,Yes,70,0,0,20,0,10,0,Yes,114534000.0,0.0,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was approved in full,7.0,Yes,100,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,95," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,1,No,,,,,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,11,13,15,9,14,10,7,12,3,5,8,6,2,4,Electricity,1,11,13,15,9,14,10,7,12,3,5,8,6,2,4,30,30,100.0,,,,,,23.0,7,10,13,No,,,,,,,Yes,14.0,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Moderate obstacle,500,200000.0,0,,,0,5000000.0,Don't know (spontaneous),,,,Don't know (spontaneous),5,4,2025,15,19,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,5510,South West,Large (100 or more),Other Services,Panel,1.3329765,1.4196485,1.0683434,207
1594061,2609,Other Services,Medium,South West,Establishment,Other services,South West,10,No,Panel,English,10,4,2025,13,27,2024,12,31,93,Interviewer17,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2016,Don't know (spontaneous),2016,9,No,No,,No,,,,Yes,15.0,5.0,One minute or less,10.0,,Yes,65.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,Don't know (spontaneous),Hotel,40,13000000.0,thirteen million,8000000.0,eight million,,100,0,0,,,,,,,,,,80,20,No,,,,,,,,No,,Tend to disagree,Tend to disagree,Strongly disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,20.0,5000.0,Square Feet,,,,,No,,,Tend to agree,No,,No,Yes,100,0,0,0,0,0,0,Yes,5000000.0,0.0,40.0,,0.0,,0.0,,60.0,,0.0,,0.0,,0.0,,Yes,No,Yes,Private commercial banks,2024.0,Don't know (spontaneous),Yes,Yes,No,No,No,No,Don't know (spontaneous),Yes,Yes,No,,Application was approved in full,Don't know (spontaneous),No,80,Credit cards,,Payment received in less than a day,Above 0 but below 0.5%,90,Credit cards,,Above 0 but below 0.5%,No time spent,Yes,1.0,Don't know (spontaneous),No,,10,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,2,11,7,3,6,14,12,5,8,13,1,15,9,4,10,Electricity,2,11,7,3,6,14,12,5,8,13,1,15,9,4,10,10,8,100.0,,,,,,7.0,7,0,3,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,No obstacle,Don't know (spontaneous),200000.0,0,,,0,1500000.0,Don't know (spontaneous),,,,5,10,4,2025,14,55,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,5510,South West,Medium (20-99),Other Services,Panel,233.20186,242.08551,239.65083,194
1594062,2610,Other Services,Medium,South West,Establishment,Other services,South West,8,No,Panel,Yoruba,7,4,2025,12,19,2024,12,31,93,Interviewer17,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,1998,3,1998,27,Yes,No,,No,,,,Yes,25.0,0.0,One minute or less,95.0,,Yes,90.0,Yes,10.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,Don't know (spontaneous),Restaurant,50,50000000.0,fifty million,10000000.0,ten million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,No,Yes,No,,,Yes,home delivery of different types of food,No,,,,,,,,,No,,,Tend to agree,No,,Yes,Yes,40,0,0,0,50,10,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,40,Credit cards,,Payment received in less than a day,Above 0 but below 0.5%,30,Credit cards,,Above 0 but below 0.5%,No time spent,Yes,1.0,No,No,,One hour or less,No,No,No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,Minor obstacle,1,5,14,3,13,4,12,11,15,7,10,9,8,2,6,Electricity,1,5,14,3,13,4,12,11,15,7,10,9,8,2,6,8,6,8.0,,,,,,8.0,8,0,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,No elecricity from a utiilty (spontaneous),,0,,,0,2880000.0,200000.0,,,,15,7,4,2025,13,27,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,5610,South West,Medium (20-99),Other Services,Panel,233.20186,242.08551,239.65083,194
1594063,2616,Other Services,Large,North West,Establishment,Other services,North West,43,No,Panel,English,13,6,2025,9,23,2024,12,31,93,Interviewer23,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,2012,43,2013,8,No,No,,No,,,,No,,,,,,Yes,90.0,No,,No,,,,It is suitable for all operational needs,No,,,No,Yes,Still in process,No,Unable to change provider,Construction of,80,100000000.0,one hundred million,80000000.0,eighty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,We fixed it but did not take further action,No,,No,,,,No,,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",After 6 months of identifying non-manager under-performance,National ,Too many to count,There is competition among many firms,Increased,No,No,No,No,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,Yes,Yes,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was approved in part,Don't know (spontaneous),No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Costless (Zero),60," Bank transfers, including through online and mobile banking",,Costless (zero),No time spent,No,,,,,40,No,No,No,,The application for a refund is too complicated,Yes,Moderately difficult,No,,3.0,,No,,,No,,,Moderate obstacle,Major obstacle,Moderate obstacle,Major obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,3,11,13,10,14,5,12,7,4,15,2,8,6,9,1,Corruption,3,11,13,10,14,5,12,7,4,15,2,8,6,9,1,43,35,50.0,,,,,,8.0,23,10,10,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Major obstacle,Don't know (spontaneous),15000.0,Don't know (spontaneous),,,Don't know (spontaneous),50000000.0,10000000.0,,,,4,13,6,2025,10,44,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,5,Face to face only,No,No,Over 250.000 to 1 million,4210,North West,Large (100 or more),Other Services,Panel,1.0,1.0,1.0,106
1594064,2642,Fabricated Metals,Medium,South West,Establishment,Manufacturing,South West,28,No,Panel,English,19,2,2025,9,44,2024,12,31,93,Interviewer4,,,,,,Private Unlimited Company - single owner,Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2006,4,2008,18,No,No,,Yes,One day or less,Yes,200000.0,Yes,21.0,8.0,0.0,50.0,,Yes,70.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Manufacturing of ,100,18000000.0,eighteen million,12000000.0,twelve million,80.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,Don't know (spontaneous),Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,Don't know (spontaneous),No,,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,Yes,No,procurement of new low power consuming weldring machines.,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,60,10,0,0,10,20,0,Yes,6000000.0,0.0,30.0,,20.0,,0.0,,0.0,,30.0,,20.0,,0.0,,Yes,Yes,Yes,Non-bank financial institutions,2024.0,2500000.0,No,,,,,,,Yes,Yes,No,,Application was approved in full,30.0,No,60,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,2.0,80," Bank transfers, including through online and mobile banking",,2.0,No time spent,Yes,1.0,Yes,No,,One hour or less,"Yes, fully","Yes, fully",No,,Refunds take too long to receive,Yes,Very much difficult,Yes,120.0,,100000.0,No,,,No,,,Very severe obstacle,No obstacle,Minor obstacle,Major obstacle,No obstacle,Major obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,Major obstacle,Very severe obstacle,No obstacle,No obstacle,Minor obstacle,8,13,15,14,12,11,6,7,2,4,5,1,3,10,9,Electricity,8,13,15,14,12,11,6,7,2,4,5,1,3,10,9,28,26,100.0,,20.0,8.0,Don't know (spontaneous),Don't know (spontaneous),,13,4,3,Yes,Don't know (spontaneous),,Don't know (spontaneous),,No women employees trained,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,Yes,Less than one month,3.0,No,,No obstacle,No obstacle,Don't know (spontaneous),15000.0,0,,,0,4500000.0,625500.0,10000000.0,,70000000.0,10,20,2,2025,2,58,Not truthful,Are arbitrary and unreliable numbers,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,2511,South West,Medium (20-99),Fabricated Metals,Panel,6.2072096,6.407277,5.670432,187
1594065,2649,Other Services,Small,South West,Establishment,Other services,South West,11,No,Panel,English,22,2,2025,10,40,2024,12,31,93,Interviewer4,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2012,6,2014,13,No,No,,No,,,,Yes,23.0,8.0,0.0,,2000000.0,Yes,80.0,Yes,5.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,Yes,Still in process,No,With little difficulty,"Repair of motor vehicles, computers, or household goods",100,9020000.0,"nine million,twenty thousand",8200000.0,"eight million,two hundred thousand",,100,0,0,,,,,,,,,,100,0,,,,,,,,,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,No,,,No,,No,,,,,,,,,Yes,5.0,Yes,Strongly agree,No,,No,No,70,5,0,0,10,15,0,Yes,250000.0,213000.0,30.0,,30.0,,0.0,,0.0,,30.0,,10.0,,0.0,,Yes,Yes,Yes,Non-bank financial institutions,2024.0,4000000.0,Yes,No,No,No,Yes,No,6000000.0,No,Yes,No,,Application was approved in full,30.0,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,3,"Yes, fully","Yes, fully",No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,Moderate obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,Very severe obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,6,13,12,14,5,11,4,7,2,10,15,8,3,1,9,Electricity,6,13,12,14,5,11,4,7,2,10,15,8,3,1,9,11,9,100.0,,,,,,4.0,5,3,3,Yes,,,,,4.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,Yes,Less than one month,7.0,No,,No obstacle,No obstacle,Don't know (spontaneous),2500.0,0,,,0,3400000.0,Don't know (spontaneous),,,,5,22,2,2025,12,57,Not truthful,Are arbitrary and unreliable numbers,Several visits,4.0,0.0,1,Face to face only,No,No,Over 250.000 to 1 million,9511,South West,Small (5-19),Other Services,Panel,26.091236,26.819067,24.684032,181
1594066,2650,Retail,Small,South West,Establishment,Retail services,South West,9,No,Panel,Yoruba,15,4,2025,10,18,2024,12,31,93,Interviewer6,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,2012,2,2012,13,Yes,Yes,ISO9000,No,,,,Yes,5.0,10.0,50.0,No Losses,,Yes,40.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,There is only one available internet provider,Retail trade of ,100,36000000.0,Thirty Six Million .,30000000.0,Thirty Million .,,100,0,0,,,,,,,,,,95,5,No,,,,,,,,No,,Tend to agree,Tend to disagree,Tend to disagree,,,,,,,,,,,,National ,2.0,The market is dominated by a few firms,Increased,No,No,Yes,No,,,No,,No,,,,,,NO PHYSICAL SELLING AREA,,,No,,,Strongly agree,No,,No,No,85,15,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,75," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,Don't know (spontaneous),"Yes, partially","Yes, partially",No,,Other,No,,No,,5.0,,No,,,No,,,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,14,2,7,6,3,13,11,5,8,9,12,4,15,10,1,Transport,14,2,7,6,3,13,11,5,8,9,12,4,15,10,1,9,4,5.0,,,,,,5.0,1,3,5,Yes,,,,,4.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,100,7000.0,0,,,0,7200000.0,930000.0,,21600000.0,,30,15,4,2025,11,2,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4719,South West,Small (5-19),Retail,Panel,63.145866,64.51206,53.27296,179
1594067,2652,Retail,Small,South West,Establishment,Other services,South West,6,No,Panel,Yoruba,15,2,2025,22,41,2024,12,31,93,Interviewer4,,,,,,PLC (Public Limited Company) - privatley traded,Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,2005,2,2010,18,Yes,No,,No,,,,Yes,Don't know (spontaneous),,,,600000.0,Yes,70.0,Yes,5.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,With no difficulty at all,Wholesale trade of ,100,8000000.0,eight million,5000000.0,five million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,Yes,No,Tend to agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Decreased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,60,0,0,0,20,20,0,No,,,,,,,,,,,,,,,,,No,Yes,Yes,Non-bank financial institutions,2023.0,2000000.0,No,,,,,,,Yes,No,Yes,,Still in process,,No,40,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,Don't know (spontaneous),No,No,No,,Not eligible,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,Minor obstacle,Very severe obstacle,No obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,No obstacle,Moderate obstacle,Very severe obstacle,No obstacle,Moderate obstacle,Minor obstacle,Very severe obstacle,8,10,2,1,12,14,15,6,11,9,5,13,3,7,4,Access to finance,8,10,2,1,12,14,15,6,11,9,5,13,3,7,4,6,5,100.0,,,,,,5.0,0,0,6,No,,,,,,,Yes,Dismissals were immediate,No severance was paid,1,No full-time seasonal or temporary workers,,,Yes,Less than one month,2.0,No,,No obstacle,No obstacle,Don't know (spontaneous),2000.0,0,,,0,800000.0,20000.0,,,,Don't know (spontaneous),16,2,2025,15,3,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4630,South West,Small (5-19),Retail,Panel,63.145866,64.51206,53.27296,179
1594068,2656,Retail,Small,South West,Establishment,Retail services,South West,7,No,Panel,Yoruba,15,4,2025,13,32,2024,12,31,93,Interviewer6,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,2010,3,2015,15,Yes,Yes,ISO9000,No,,,,No,,,,,,Yes,20.0,Yes,50.0,No,,,,It is suitable for all operational needs,No,,,No,No,,No,With little difficulty,Retail trade of ,50,26000000.0,Twenty six Million,19000000.0,Nineteen Million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to disagree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,Prices are regulated,No,No,No,,,No,,No,,,,,,NO PHYSICAL SELLING AREA,,,No,,,Strongly disagree,No,,No,No,90,10,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,30,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,40," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,12,"Yes, partially","Yes, partially",No,,Not eligible,No,,No,,6.0,,No,,,No,,,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Major obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,Major obstacle,9,1,3,15,11,4,5,7,12,6,13,8,14,10,2,Practices of competitors in the informal sector,9,1,3,15,11,4,5,7,12,6,13,8,14,10,2,7,5,85.0,,,,,,4.0,1,2,4,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,No obstacle,100,8500.0,52020,Liters,,52020,9880000.0,208000.0,,7800000.0,,20,15,4,2025,14,41,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,4722,South West,Small (5-19),Retail,Panel,72.19584,73.75784,59.59699,179
1594069,2658,Other Services,Small,South West,Establishment,Retail services,South West,6,No,Panel,English,17,2,2025,15,16,2024,12,31,93,Interviewer4,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2014,6,2018,10,Yes,No,,No,,,,Yes,Don't know (spontaneous),,,,400000.0,Yes,60.0,Yes,5.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Retail trade of ,80,15000000.0,Fifteen million,10000000.0,ten million,,100,0,0,,,,,,,,,,80,20,No,,,,,,,,No,,Tend to agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,No,,,No,,Yes,200000.0,,,,,Don't know (spontaneous),,,No,,,Strongly agree,No,,No,No,80,0,0,0,0,20,0,No,,,,,,,,,,,,,,,,,No,Yes,Yes,Private commercial banks,2022.0,4000000.0,Yes,No,No,No,Yes,No,6000000.0,Yes,No,No,Collateral requirements were too high,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90," Bank transfers, including through online and mobile banking",,1.0,No time spent,No,,,,,One hour or less,No,"Yes, fully",No,,Not eligible,Yes,Very much difficult,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,Major obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,6,15,5,2,1,9,10,14,12,11,8,13,4,7,3,Access to finance,6,15,5,2,1,9,10,14,12,11,8,13,4,7,3,6,6,6.0,,,,,,3.0,3,2,1,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Don't know (spontaneous),2000.0,0,,,0,2500000.0,300000.0,,9000000.0,,Refusal (spontaneous),17,2,2025,18,6,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4753,South West,Small (5-19),Other Services,Panel,29.830593,30.662737,27.61427,181
